State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Albuquerque,"	Las Cruces","	Rio Rancho","	Santa Fe","	Roswell",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Oklahoma City,Tulsa,Norman,Broken Arrow,Edmond,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Little Rock,Fayetteville,Fort Smith,Springdale,Jonesboro,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,New Orleans,Baton Rouge,Shreveport,Metairie,Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,GCC Odessa Plant,New Mexico,71,841,,661,512,681,647,338,Oklahoma,376,912,,716,886,708,901,738,Arkansas,766,1257,,1099,1087,997,1056,1303,Louisiana,787,1229,,1400,1274,888,1391,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lonestar Industries/Buzzi Unicem Maryneal Plant,13092,237,927,,731,747,750,717,445, ,233,740,,535,705,527,720,557,,581,1071,,909,906,816,874,1112,,614,1071,,1210,1083,698,1201,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ash Grove Midlothian Plant,,568,1206,,1054,1097,1074,1040,794,,133,740,,372,454,345,459,392,,266,766,,550,575,486,589,754,,277,739,,841,714,329,832,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holcim Midlothian Plant,,571,1209,,1052,1095,1071,1038,791,,135,741,,371,453,345,459,391,,264,770,,549,574,484,587,753,,274,737,,840,713,328,831,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Martin Marietta Midlothian Plant,,570,1208,,1050,1093,1069,1036,789,,140,741,,378,460,351,465,398,,272,776,,556,580,490,594,759,,280,740,,846,720,335,837,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lehigh Cement Buda Plant,,540,1290,,1164,997,1183,1149,840,,412,905,,675,773,648,779,695,,506,1010,,872,894,804,907,1075,,394,789,,839,712,537,829,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lehigh Cement Waco Plant,,554,1245,,1073,1051,1092,1059,787,,249,613,,485,583,458,589,505,,352,857,,682,704,614,718,885,,332,736,,825,699,395,816,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Martin Marietta New Braunfels Plant,,538,1296,,1172,994,1191,1157,848,,450,922,,707,808,680,810,729,,523,1044,,906,928,843,947,1107,,415,810,,839,713,616,830,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CEMEX New Braunfels Balcones Cement Plant,,534,1296,,1174,977,1202,1159,851,,465,930,,715,812,688,818,735,,543,1064,,910,933,843,947,1114,,435,826,,848,721,600,838,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
